amfi_code,date,nav
100016,2022-02-01,512.1124
100016,2022-03-01,503.1674
100016,2022-04-01,531.285
100016,2022-06-01,474.1732
100016,2022-07-01,452.584
100016,2022-08-01,433.0211
100016,2022-09-01,424.3603
100016,2022-11-01,448.4277
100016,2022-12-01,482.4201
100016,2022-01-13,510.2445
100016,2022-01-14,514.3636
100016,2022-01-17,514.7627
100016,2022-01-18,517.3803
100016,2022-01-19,513.1866
100016,2022-01-20,507.1294
100016,2022-01-21,507.871
100016,2022-01-24,506.7062
100016,2022-01-25,509.7762
100016,2022-01-26,509.68
100016,2022-01-27,510.8661
100016,2022-01-28,503.8641
100016,2022-01-31,512.5903
100016,2022-02-02,515.5386
100016,2022-03-02,504.7495
100016,2022-05-02,524.0515
100016,2022-06-02,473.1602
100016,2022-08-02,423.7137
100016,2022-09-02,418.068
100016,2022-11-02,453.5279
100016,2022-12-02,480.9949
100016,2022-02-14,507.5435
100016,2022-02-15,504.7492
100016,2022-02-16,507.0506
100016,2022-02-17,516.7872
100016,2022-02-18,516.4246
100016,2022-02-21,519.3918
100016,2022-02-22,519.1698
100016,2022-02-23,528.4118
100016,2022-02-24,520.6004
100016,2022-02-25,521.3038
100016,2022-02-28,514.1489
100016,2022-01-03,520.4608
100016,2022-02-03,512.0153
100016,2022-03-03,505.6316
100016,2022-05-03,515.5881
100016,2022-06-03,470.7754
100016,2022-08-03,423.3646
100016,2022-10-03,430.3701
100016,2022-11-03,455.1164
100016,2022-03-14,519.2545
100016,2022-03-15,518.432
100016,2022-03-16,516.825
100016,2022-03-17,525.4534
100016,2022-03-18,531.2109
100016,2022-03-21,532.1264
100016,2022-03-22,521.6911
100016,2022-03-23,520.3011
100016,2022-03-24,533.1283
100016,2022-03-25,532.3194
100016,2022-03-28,537.8012
100016,2022-03-29,544.965
100016,2022-03-30,546.3002
100016,2022-03-31,542.5392
100016,2022-01-04,515.0971
100016,2022-02-04,513.6729
100016,2022-03-04,504.6233
100016,2022-04-04,534.7762
100016,2022-05-04,522.4674
100016,2022-07-04,443.3196
100016,2022-08-04,427.5619
100016,2022-10-04,428.3154
100016,2022-11-04,452.9791
100016,2022-04-13,522.8529
100016,2022-04-14,528.6739
100016,2022-04-15,526.1696
100016,2022-04-18,518.7241
100016,2022-04-19,518.493
100016,2022-04-20,518.9178
100016,2022-04-21,519.9214
100016,2022-04-22,526.4763
100016,2022-04-25,525.6507
100016,2022-04-26,525.3674
